,Valeur fonciere,Nombre pieces principales,Surface reelle bati
1099031,105000.0,1.0,26.0
1099047,119073.0,1.0,29.0
1099048,94500.0,1.0,23.0
1099068,154760.0,3.0,72.0
1099075,155000.0,4.0,63.0
1099080,108720.0,2.0,33.0
1099107,129000.0,2.0,45.0
1099112,382000.0,2.0,55.0
1099113,382000.0,2.0,55.0
1099154,160000.0,2.0,45.0
1099156,219000.0,4.0,78.0
1099160,327930.0,4.0,79.0
1099173,170670.0,3.0,66.0
1099175,130829.0,2.0,18.0
1099181,141000.0,3.0,61.0
1099190,85000.0,1.0,20.0
1099192,93396.0,2.0,24.0
1099207,112500.0,1.0,20.0
1099209,196307.0,3.0,62.0
1099213,138000.0,1.0,45.0
1099216,138000.0,3.0,70.0
1099217,200000.0,3.0,63.0
1099235,67018.0,1.0,15.0
1099248,144000.0,2.0,43.0
1099251,265000.0,2.0,50.0
1099253,718557.06,3.0,55.0
1099254,718557.06,4.0,65.0
1099259,718557.06,3.0,55.0
1099260,718557.06,4.0,65.0
1099263,718557.06,3.0,55.0
1099264,718557.06,4.0,65.0
1099282,63000.0,3.0,61.0
1099286,383500.0,4.0,83.0
1099298,115800.0,3.0,57.0
1099301,105000.0,1.0,23.0
1099303,207500.0,3.0,60.0
1099306,191000.0,2.0,45.0
1099308,282835.0,5.0,109.0
1099312,116600.0,2.0,30.0
1099329,287000.0,3.0,60.0
1099344,762500.0,2.0,28.0
1099345,762500.0,3.0,85.0
1099346,762500.0,2.0,25.0
1099348,762500.0,1.0,20.0
1099365,84800.0,1.0,17.0
1099376,80000.0,1.0,44.0
1099377,80000.0,2.0,54.0
1099378,80000.0,2.0,60.0
1099394,76000.0,1.0,19.0
1099395,234000.0,1.0,11.0
1099396,234000.0,2.0,56.0
1099397,93500.0,2.0,36.0
1099418,153300.0,3.0,60.0
1099423,120000.0,3.0,57.0
1099438,152225.0,3.0,60.0
1099441,57000.0,1.0,35.0
1099446,149000.0,2.0,48.0
1099454,80000.0,2.0,37.0
1099456,125000.0,1.0,22.0
1099463,180600.0,2.0,48.0
1099471,120840.0,2.0,53.0
1099475,150000.0,3.0,54.0
1099482,228350.0,3.0,67.0
1099486,220000.0,2.0,48.0
1099499,404775.0,3.0,88.0
1099508,143000.0,2.0,50.0
1099516,104800.0,1.0,33.0
1099518,141000.0,2.0,39.0
1099529,182401.0,3.0,67.0
1099533,70163.0,1.0,21.0
1099546,174900.0,2.0,53.0
1099580,207100.0,3.0,63.0
1099594,115900.0,2.0,44.0
1099616,275000.0,4.0,85.0
1099618,77950.0,1.0,20.0
1099623,52700.0,1.0,22.0
1099624,173000.0,2.0,46.0
1099625,225630.0,4.0,86.0
1099637,149500.0,4.0,63.0
1099656,249000.0,2.0,51.0
1099669,144000.0,3.0,59.0
